uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
2002,Pay1,Services,Mobile Phones & Accessories,Mobile Accessories,2,Gurugram,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,300000,Refuse To Answer,Refuse To Answer,No,No,,,No,Somewhat confident,0,,> 6 months,No,,Did not find beneficial enough,,Male,No,50,5,,1 6 -888,Pubg khelte he,2,,,,,3,,,1,3 4,,,2-3 years,Increased,4,,1 3 4,,,,,,,,,,,,,
2013,LEAD_FI_Team,Manufacturing,Paper and Paper Based,Paper & Plastic Products,4,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,No,,No,No,No,No,,,No,Fully confident,1,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,0,,6,,,,,,,1,,,,5,,,3-6 months,Decreased,5,,1 4,,,,,,,,,,,,,
2017,LEAD_FI_Team,Manufacturing,Textile,Textiles,32,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,10,14,,,,Y,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,,Yes full payment,Partial payment,No,No,,,Yes,Somewhat confident,0,,> 6 months,No,,Banks/MFI/NBFC not lending,,Male,Yes,,4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
2028,LEAD_FI_Team,Manufacturing,Pharmaceuticals,Others,23,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Operational,1 2 4,,50,0,50,,,,,,,Y,Worse than expected,75,Decreased,25,Enough to survive 2 months,,No,,,Yes,,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Not confident,0,,4-6 months,No,,Banks/MFI/NBFC not lending,,Male,No,80,1,,1 2 -888,Factory,2,3,,,,,,,1,3 4 5,,,2-3 years,Increased,1 2 3 4,,1 2 3 4,,,,,,,,,,,,,
2032,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,11,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,55,4,59,,,,,,,Y,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,,Partial payment,No,No,"No, but not able to pay them",,,No,Somewhat confident,0,,Uncertain,No,,Others,Not required at the moment,Male,Yes,,0,,1 2 6,,1,2,,,,3,,,,3 4,,,1-2 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
2033,LEAD_FI_Team,Manufacturing,Textile,Textiles,8,Panipat,Haryana,North India,No,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,6,2,8,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,200000,Partial payment,Partial payment,Yes,"No, but not able to pay them",,,No,Somewhat confident,0,,4-6 months,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2 6,,2,3,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
2039,LEAD_FI_Team,Manufacturing,Textile,Textiles,3,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,No,Partial payment,"Yes, but with delay","No, but not able to pay them",,,Yes,Not confident,0,,Uncertain,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2 6,,2,3,,,,1,,,,3 4,,,1-2 years,Remained the same,3 4,,3 4,,,,,,,,,,,,,
2040,LEAD_FI_Team,Manufacturing,Textile,Textiles,3,Panipat,Haryana,North India,No,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,15,0,15,,,,,Y,,,Worse than expected,,,,Enough to survive 2 months,,No,,,No,,Yes full payment,Yes full payment,No,No,,,No,Not confident,0,,Uncertain,No,,Others,Not required at the moment,Male,Yes,,0,,1 2 6 7,,1,2,,,,3,4,,,3 4 5,,,1-2 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
2042,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,2,Panipat,Haryana,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,20,4,24,,,,,,Y,,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,140000,Partial payment,Do Not Know,No,No,,,No,Somewhat confident,0,,> 6 months,No,,Others,Not required at the moment,Male,Yes,,0,,1 2 4 6,,1,2,,3,,4,,,,3 4,,,1-2 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
2053,LEAD_FI_Team,Manufacturing,Textile,Textiles,12,Panipat,Haryana,North India,No,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,7,0,7,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,,Partial payment,No,No,"No, but not able to pay them",,,Yes,Not confident,0,,Uncertain,No,,Did not find beneficial enough,,Male,No,,1 2 3 4,,1 2 6,,2,1,,,,3,,,,3 4 5,,,1-2 years,Decreased,4,,1 3 4,,,,,,,,,,,,,
2054,LEAD_FI_Team,Manufacturing,Textile,Textiles,3,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,500000,Yes full payment,Yes full payment,No,"No, but not able to pay them",,,Yes,Fully confident,0,,0-3 months,Yes,Lagu udyog (20 lakh karor),,,Male,Yes,,0,,1 2 7,,1,2,,,,,3,,,3 4 5,,,> 3 years,Decreased,3 4,,1 3 4,,,,,,,,,,,,,
2059,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,2,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Others,Uncertain,No,,,No,,Yes full payment,Do Not Know,No customers due to lockdown,No,,,No,Somewhat confident,0,,4-6 months,No,,Others,Not required at the moment,Male,Yes,,0,,1 2 6,,2,1,,,,3,,,,3 4,,,1-2 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
